id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
25453503,Warm Artistic Wburg Loft Off 4 Train Lines,5572415,Brooklyn,Williamsburg,40.70795,-73.94741,Entire home/apt,100,5,1,0.08,11
25456951,Beautiful 1 bedroom apt with private rooftop,10317649,Brooklyn,Williamsburg,40.71465,-73.96172,Entire home/apt,190,4,4,0.32,17
25470372,"Rare, Classic, 2 Bed/2 Bath Williamsburg Loft",34669755,Brooklyn,Williamsburg,40.71198,-73.96036,Entire home/apt,250,7,3,0.24,5
25517407,Spacious room in prime Willyb! Steps 2 Bedford L,1034976,Brooklyn,Williamsburg,40.71777,-73.95824,Private room,100,1,18,1.36,33
25543393,Charming Photo Set & Studio Loft,192723267,Brooklyn,Williamsburg,40.70753,-73.93623,Entire home/apt,350,2,1,1.0,171
25551687,Perfect room in Williamsburg (10min to Manhattan),889683,Brooklyn,Williamsburg,40.71273,-73.94841,Private room,84,1,95,7.13,51
25552076,Private Garden. Trendy Williamsburg location!,184009385,Brooklyn,Williamsburg,40.7129,-73.94251,Entire home/apt,170,2,47,3.7,57
25674366,Mid Century Modern Williamsburg Condo,9038810,Brooklyn,Williamsburg,40.71577,-73.9553,Entire home/apt,295,3,11,0.87,1
25680422,Converted Knitting Factory LOFT in N. Williamsburg,10671580,Brooklyn,Williamsburg,40.7157,-73.95353,Entire home/apt,200,30,4,0.35,101
25728623,Sunny 1BED in Heart of Williamsburg,21216045,Brooklyn,Williamsburg,40.71233,-73.96208,Entire home/apt,169,4,12,0.95,60
25755215,Art Filled Bohemian Chic,193583966,Brooklyn,Williamsburg,40.71681,-73.95729,Entire home/apt,135,5,14,1.12,44
25785298,Spacious room in Williamsburg (10min to Manhattan),889683,Brooklyn,Williamsburg,40.71264,-73.94889,Private room,88,1,71,5.37,51
25799803,Private Room in Open Brick loft in Williamsburg,11767749,Brooklyn,Williamsburg,40.7137,-73.96674,Private room,95,2,15,1.16,3
25813280,Private room in a Bohemian Bushwick Loft! b,96737879,Brooklyn,Williamsburg,40.70412,-73.93426,Private room,70,3,19,1.79,53
25834338,1 bdrm apt / Prime Wburg / steps 2 Bedford L,1034976,Brooklyn,Williamsburg,40.71767,-73.95902,Entire home/apt,170,2,12,0.93,308
