,id,neighbourhood,price,stay_type
322,INNSIDE New York NoMad,Flatiron District,609.09395,0
323,Baccarat Hotel and Residences New York,Midtown,1450.09495,0
324,The Marmara Park Avenue,Flatiron District,455.71,0
325,"The Paul, an Ascend Hotel Collection Member",Flatiron District,304.03000000000003,0
326,Safehouse Suites Manhattan,Midtown,8439.375,0
327,Cambria hotel & suites New York - Chelsea,Flatiron District,388.85315,0
328,NYC Vacation Suites,East Harlem,500.0,0
329,Fairfield Inn New York Manhattan/Financial District,Financial District,278.525,0
330,Vacayo Premium East Side Apartments,East Village,347.1,0
331,NobleDEN Hotel,Little Italy,354.2161,0
332,Orchard Street Hotel,Lower East Side,399.5,0
333,Upper East Side Apartments,Upper East Side,599.5,0
334,1 Hotel Central Park,Midtown,746.74,0
335,Arlo Hudson Square,Tribeca,409.05,0
336,The New York EDITION,Flatiron District,923.525,0
337,The Bowery Suites,SoHo,406.5,0
338,Hotel Cliff,Washington Heights,187.95485,0
339,Comfort Inn Lower East Side,Lower East Side,204.01690000000002,0
340,Hotel Indigo Lower East Side New York,Lower East Side,396.86085,0
341,Residence Inn Marriott New York Downtown Manhattan/WTC Area,Financial District,319.03000000000003,0
342,Midtown West Vacation Rentals,East Harlem,249.705,0
343,Edge Hotel,Washington Heights,284.3,0
344,Q&A Residential Hotel,Financial District,749.1129000000001,0
345,Holiday Inn Manhattan-Financial District,Financial District,146.47115,0
346,Aloft Manhattan Downtown - Financial District,Financial District,277.6,0
347,RIFF Downtown,Financial District,184.19,0
348,Jet Luxury at the Trump SoHo,SoHo,692.405,0
349,The Central Park North,Harlem,171.89715,0
350,Morningside Inn,Upper West Side,150.84,0
351,Beautiful Studio Near Central Park,Upper East Side,180.94,0
352,Fairfield Inn & Suites New York Manhattan / Central Park,,254.04500000000002,0
353,Vacayo Affordable East Side Apartments,East Village,270.42,0
354,Vacayo Affordable West Side Apartments,Tribeca,245.19,0
355,3 West Club,Midtown,249.83,0
356,The Melva Inn - Harlem,Harlem,134.11035,0
357,Bryant Park Studio Apartment next to Times Square,,179.436,0
358,Courtyard New York Downtown Manhattan/World Trade Center,Financial District,317.07,0
359,Central Park West Hostel,Upper West Side,35.5,0
360,EVEN Hotel New York- Midtown East,,219.44,0
361,HGU New York,Flatiron District,354.45,0
362,Heritage Hotel,Flatiron District,169.02465,0
363,Hyatt House New York/Chelsea,Flatiron District,409.0,0
364,Green Holidays Apartments,,270.5395,0
365,Sago Hotel,Lower East Side,567.205,0
