id,neighbourhood,price,stay_type,avgprice
4188807,Prospect Lefferts Gardens,72.0,1,98.17100371747212
4192400,Bushwick,72.0,1,90.89435989256938
4195677,Sunnyside,80.0,1,91.43315508021391
4197760,Upper East Side,92.0,1,165.82365635198136
4198695,Midwood,50.0,1,90.58333333333333
4199782,Greenwood,135.0,1,135.74666666666667
4204083,Bedford Stuyvesant,129.0,1,105.70102090422947
4204302,Greenwich Village,180.0,1,198.69137352941175
4206034,Tompkinsville,99.0,1,88.44827586206897
4208547,Crown Heights,73.0,1,116.16734693877551
4211510,Astoria,50.0,1,99.68881685575364
4215595,Lower East Side,40.0,1,158.55794867075664
4216813,Greenpoint,200.0,1,136.96753246753246
4217758,Ridgewood,98.0,1,86.47692307692307
4218034,Bedford Stuyvesant,199.0,1,105.70102090422947
4218098,Harlem,110.0,1,112.78284126547456
4218129,Bedford Stuyvesant,59.0,1,105.70102090422947
4219851,Bushwick,95.0,1,90.89435989256938
4220151,Chelsea,159.0,1,188.13311841004185
4224091,Boerum Hill,195.0,1,163.14814814814815
4225569,Astoria,96.0,1,99.68881685575364
4226098,Upper West Side,88.0,1,164.86134589041097
4227207,Greenwood,175.0,1,135.74666666666667
4227554,Woodside,195.0,1,95.76068376068376
4232255,Bay Ridge,49.0,1,106.52380952380952
4233025,Williamsburg,150.0,1,137.40992321323094
4235620,Flushing,100.0,1,80.80463576158941
4235843,East Harlem,55.0,1,121.45999165354331
4240861,Bushwick,80.0,1,90.89435989256938
4241028,Jamaica,89.0,1,88.33116883116882
4241486,East Village,280.0,1,159.5356283068783
4244242,Bedford Stuyvesant,70.0,1,105.70102090422947
4244528,Williamsburg,80.0,1,137.40992321323094
4249131,East Village,96.0,1,159.5356283068783
4249342,Financial District,98.0,1,208.96072712328765
4250746,Bushwick,140.0,1,90.89435989256938
4256091,West Village,175.0,1,200.29409194078949
4257889,Morningside Heights,89.0,1,113.38
4258867,Fort Greene,178.0,1,146.19026548672565
4259427,Crown Heights,210.0,1,116.16734693877551
4260964,Harlem,150.0,1,112.78284126547456
4261214,Harlem,149.0,1,112.78284126547456
4262707,Howard Beach,63.0,1,126.08333333333333
4263802,Fort Greene,165.0,1,146.19026548672565
4263880,Crown Heights,75.0,1,116.16734693877551
4268286,East Harlem,100.0,1,121.45999165354331
4270683,Astoria,110.0,1,99.68881685575364
4271119,Upper West Side,112.0,1,164.86134589041097
4271877,Bedford Stuyvesant,69.0,1,105.70102090422947
4274443,Midtown,260.0,1,245.98121224627874
4274462,Ridgewood,49.0,1,86.47692307692307
4274589,Tribeca,215.0,1,274.64551810344824
4274595,East Harlem,200.0,1,121.45999165354331
4276762,Harlem,310.0,1,112.78284126547456
4277724,Williamsburg,195.0,1,137.40992321323094
4277980,Crown Heights,110.0,1,116.16734693877551
4278084,Midtown,75.0,1,245.98121224627874
4278389,Clason Point,45.0,1,86.70588235294117
4279260,Ridgewood,150.0,1,86.47692307692307
4279550,Lower East Side,180.0,1,158.55794867075664
4280053,Bedford Stuyvesant,80.0,1,105.70102090422947
4282998,Gramercy,200.0,1,168.1011574074074
4284031,Chelsea,160.0,1,188.13311841004185
4286196,East Village,199.0,1,159.5356283068783
4286662,Greenwich Village,190.0,1,198.69137352941175
4287589,Sunset Park,125.0,1,106.48186528497409
4288276,Upper East Side,145.0,1,165.82365635198136
4291200,Forest Hills,95.0,1,97.65384615384616
4293935,Crown Heights,99.0,1,116.16734693877551
4295542,Brooklyn Heights,240.0,1,167.45
4295603,Greenpoint,129.0,1,136.96753246753246
4296126,Clinton,259.0,1,165.18030573843416
4296291,East Harlem,75.0,1,121.45999165354331
4296956,Canarsie,210.0,1,96.925
4297952,Chelsea,199.0,1,188.13311841004185
4299536,Clinton Hill,189.0,1,139.83703703703705
4302293,Hunters Point,58.0,1,117.14079422382672
4303600,Bedford Stuyvesant,60.0,1,105.70102090422947
4303825,Hunters Point,190.0,1,117.14079422382672
4305170,Clinton Hill,139.0,1,139.83703703703705
4308612,Clinton,125.0,1,165.18030573843416
4308633,Williamsburg,94.0,1,137.40992321323094
4308798,Upper East Side,100.0,1,165.82365635198136
4308991,East Village,149.0,1,159.5356283068783
4309079,East Village,128.0,1,159.5356283068783
4309648,Bedford Stuyvesant,160.0,1,105.70102090422947
4309757,Park Slope,160.0,1,156.9579831932773
4310501,East Village,110.0,1,159.5356283068783
4311648,Williamsburg,285.0,1,137.40992321323094
4315934,Bedford Stuyvesant,75.0,1,105.70102090422947
4320934,Harlem,133.0,1,112.78284126547456
4325329,Upper West Side,200.0,1,164.86134589041097
4333204,Harlem,94.0,1,112.78284126547456
4334446,Greenwood,120.0,1,135.74666666666667
4338177,Chelsea,160.0,1,188.13311841004185
4338548,Bedford Stuyvesant,102.0,1,105.70102090422947
4339188,Bedford Stuyvesant,85.0,1,105.70102090422947
4339202,Astoria,70.0,1,99.68881685575364
4339924,Bushwick,200.0,1,90.89435989256938
4340609,Greenpoint,199.0,1,136.96753246753246
4341158,East Flatbush,100.0,1,91.9221183800623
4343312,Harlem,57.0,1,112.78284126547456
4343956,Morningside Heights,107.0,1,113.38
4350120,Greenpoint,137.0,1,136.96753246753246
4352537,Gramercy,64.0,1,168.1011574074074
4354764,Canarsie,90.0,1,96.925
4357892,Bay Terrace,189.0,1,140.5
4359718,Bushwick,140.0,1,90.89435989256938
4359756,Hunters Point,97.0,1,117.14079422382672
4359921,Astoria,180.0,1,99.68881685575364
4362570,Park Slope,220.0,1,156.9579831932773
4363228,Lower East Side,180.0,1,158.55794867075664
4365276,Williamsburg,170.0,1,137.40992321323094
4365756,Bedford Stuyvesant,110.0,1,105.70102090422947
4365765,East Flatbush,55.0,1,91.9221183800623
4366049,Bedford Stuyvesant,180.0,1,105.70102090422947
4377337,East Harlem,120.0,1,121.45999165354331
4377929,East Village,198.0,1,159.5356283068783
4378816,Bushwick,60.0,1,90.89435989256938
4378951,Bedford Stuyvesant,170.0,1,105.70102090422947
4384181,Bedford Stuyvesant,83.0,1,105.70102090422947
4386513,East Village,230.0,1,159.5356283068783
4386598,Lower East Side,180.0,1,158.55794867075664
4387007,Belle Harbor,110.0,1,166.4
4387152,Williamsburg,160.0,1,137.40992321323094
4392351,Gramercy,87.0,1,168.1011574074074
4393126,West Village,115.0,1,200.29409194078949
4393502,Forest Hills,50.0,1,97.65384615384616
4393628,Forest Hills,55.0,1,97.65384615384616
4396142,Hunters Point,160.0,1,117.14079422382672
4396939,Clinton,89.0,1,165.18030573843416
4397455,Canarsie,85.0,1,96.925
4401013,Bedford Stuyvesant,229.0,1,105.70102090422947
4402117,Kew Gardens Hills,149.0,1,103.3125
4402805,Prospect Lefferts Gardens,120.0,1,98.17100371747212
4403928,Ridgewood,56.0,1,86.47692307692307
4404544,Bushwick,75.0,1,90.89435989256938
4405156,East Harlem,115.0,1,121.45999165354331
4405874,Prospect Lefferts Gardens,90.0,1,98.17100371747212
4407787,Lower East Side,109.0,1,158.55794867075664
4407790,Williamsbridge,49.0,1,98.57692307692308
4408381,East Flatbush,100.0,1,91.9221183800623
4410626,Red Hook,245.0,1,117.5909090909091
4412533,East Harlem,79.0,1,121.45999165354331
4423650,Upper West Side,97.0,1,164.86134589041097
4424391,Upper East Side,250.0,1,165.82365635198136
4424405,Upper East Side,200.0,1,165.82365635198136
4424511,Park Slope,160.0,1,156.9579831932773
4426780,Harlem,90.0,1,112.78284126547456
4426877,Fort Greene,239.0,1,146.19026548672565
4427442,Washington Heights,290.0,1,91.67719002293578
4428854,Greenpoint,55.0,1,136.96753246753246
4429337,Williamsburg,120.0,1,137.40992321323094
4430747,Bedford Stuyvesant,103.0,1,105.70102090422947
4430808,Jamaica Estates,64.0,1,121.16666666666667
4431247,Chelsea,70.0,1,188.13311841004185
4436944,Crown Heights,150.0,1,116.16734693877551
4437053,Little Italy,105.0,1,170.56605126582278
4438029,Chelsea,360.0,1,188.13311841004185
4438223,Harlem,165.0,1,112.78284126547456
4438470,East Village,105.0,1,159.5356283068783
4439602,East Village,100.0,1,159.5356283068783
4439839,Bedford Stuyvesant,129.0,1,105.70102090422947
4440020,Harlem,229.0,1,112.78284126547456
4440751,Lower East Side,99.0,1,158.55794867075664
4444204,Upper West Side,300.0,1,164.86134589041097
4445185,Greenwood,84.0,1,135.74666666666667
4447904,Upper West Side,80.0,1,164.86134589041097
4449559,Concourse,105.0,1,76.29629629629629
4450020,East Flatbush,100.0,1,91.9221183800623
4452723,Richmond Hill,90.0,1,92.56060606060606
4453484,Williamsburg,250.0,1,137.40992321323094
4454122,Harlem,115.0,1,112.78284126547456
4455094,West Village,159.0,1,200.29409194078949
4455301,Clinton Hill,110.0,1,139.83703703703705
4456312,Kingsbridge,57.0,1,79.10526315789474
4456880,Bedford Stuyvesant,250.0,1,105.70102090422947
4457556,East Harlem,92.0,1,121.45999165354331
4462008,Williamsbridge,47.0,1,98.57692307692308
4464508,Flatbush,79.0,1,92.42756183745583
4467771,Chelsea,345.0,1,188.13311841004185
4469264,Williamsburg,80.0,1,137.40992321323094
4469650,Harlem,300.0,1,112.78284126547456
4472978,Clinton,195.0,1,165.18030573843416
4473156,East Harlem,165.0,1,121.45999165354331
4475128,East Harlem,65.0,1,121.45999165354331
4476945,Harlem,149.0,1,112.78284126547456
4480793,Bedford Stuyvesant,125.0,1,105.70102090422947
4481427,Ridgewood,95.0,1,86.47692307692307
4481474,Bedford Stuyvesant,135.0,1,105.70102090422947
4481694,Bushwick,120.0,1,90.89435989256938
4482158,Park Slope,160.0,1,156.9579831932773
4482783,Williamsburg,139.0,1,137.40992321323094
4483117,Upper East Side,69.0,1,165.82365635198136
4483517,Bedford Stuyvesant,100.0,1,105.70102090422947
4483672,Harlem,71.0,1,112.78284126547456
4484212,Gramercy,250.0,1,168.1011574074074
4488882,Flatlands,125.0,1,99.53703703703704
4490268,Bushwick,139.0,1,90.89435989256938
4498688,Bedford Stuyvesant,227.0,1,105.70102090422947
4498927,Harlem,300.0,1,112.78284126547456
4499097,Upper West Side,130.0,1,164.86134589041097
4499976,Upper West Side,225.0,1,164.86134589041097
4500897,Kensington,115.0,1,87.97435897435898
4503472,Park Slope,163.0,1,156.9579831932773
4504049,Williamsbridge,55.0,1,98.57692307692308
4507262,West Village,247.0,1,200.29409194078949
4509357,Harlem,69.0,1,112.78284126547456
4509500,Chelsea,150.0,1,188.13311841004185
4509560,Gramercy,140.0,1,168.1011574074074
4512045,Upper West Side,148.0,1,164.86134589041097
4512093,Upper West Side,299.0,1,164.86134589041097
4513084,Harlem,150.0,1,112.78284126547456
4514042,Bushwick,80.0,1,90.89435989256938
4516766,Bedford Stuyvesant,68.0,1,105.70102090422947
4516939,Bedford Stuyvesant,72.0,1,105.70102090422947
4517117,Harlem,97.0,1,112.78284126547456
4517177,Hunters Point,170.0,1,117.14079422382672
4517848,Washington Heights,67.0,1,91.67719002293578
4520113,Lower East Side,120.0,1,158.55794867075664
4520941,Inwood,250.0,1,91.49193548387096
4523324,East Village,200.0,1,159.5356283068783
4530154,Greenwood,53.0,1,135.74666666666667
4530432,Washington Heights,66.0,1,91.67719002293578
4532435,Williamsburg,165.0,1,137.40992321323094
4532913,Williamsburg,45.0,1,137.40992321323094
4533010,Washington Heights,80.0,1,91.67719002293578
4537297,Rego Park,40.0,1,93.78125
4538012,Harlem,85.0,1,112.78284126547456
4538238,Gramercy,150.0,1,168.1011574074074
4538274,Astoria,100.0,1,99.68881685575364
4541102,East Flatbush,109.0,1,91.9221183800623
4545882,Upper East Side,220.0,1,165.82365635198136
4545999,Crown Heights,45.0,1,116.16734693877551
4546034,Washington Heights,75.0,1,91.67719002293578
4549555,Upper West Side,55.0,1,164.86134589041097
4549557,Harlem,205.0,1,112.78284126547456
4549930,Upper East Side,150.0,1,165.82365635198136
4550041,East Elmhurst,65.0,1,80.59712230215827
4550494,Astoria,150.0,1,99.68881685575364
4550557,East Elmhurst,65.0,1,80.59712230215827
4550602,Crown Heights,75.0,1,116.16734693877551
4550747,Crown Heights,85.0,1,116.16734693877551
4553528,Williamsburg,58.0,1,137.40992321323094
4553721,Williamsburg,90.0,1,137.40992321323094
4555470,Astoria,105.0,1,99.68881685575364
4556564,Harlem,69.0,1,112.78284126547456
4557206,Astoria,125.0,1,99.68881685575364
4557370,Inwood,90.0,1,91.49193548387096
4559096,Clinton,125.0,1,165.18030573843416
4563401,Clinton,215.0,1,165.18030573843416
4564292,Clinton,107.0,1,165.18030573843416
4564695,Lower East Side,89.0,1,158.55794867075664
4566989,Astoria,98.0,1,99.68881685575364
4567765,East Village,299.0,1,159.5356283068783
4573728,Lower East Side,239.0,1,158.55794867075664
4573897,Inwood,76.0,1,91.49193548387096
4574225,East Harlem,60.0,1,121.45999165354331
4575364,East New York,50.0,1,94.9917695473251
